theta,intensity
5.0000,8.492
5.0400,8.134
5.0800,8.200
5.1200,8.208
5.1600,7.989
5.2000,7.879
5.2400,7.566
5.2800,7.695
5.3200,7.660
5.3600,7.223
5.4000,7.173
5.4400,7.163
5.4800,6.981
5.5200,6.783
5.5600,6.716
5.6000,6.554
5.6400,6.450
5.6800,6.397
5.7200,6.353
5.7600,5.951
5.8000,5.904
5.8400,5.929
5.8800,5.824
5.9200,5.627
5.9600,5.445
6.0000,5.389
6.0400,5.437
6.0800,5.394
6.1200,5.258
6.1600,5.148
6.2000,5.050
6.2400,5.012
6.2800,4.949
6.3200,4.930
6.3600,4.766
6.4000,4.796
6.4400,4.747
6.4800,4.700
6.5200,4.725
6.5600,4.611
6.6000,4.572
6.6400,4.610
6.6800,4.550
6.7200,4.554
6.7600,4.361
6.8000,4.423
6.8400,4.344
6.8800,4.369
6.9200,4.310
6.9600,4.223
7.0000,4.165
7.0400,4.247
7.0800,4.279
7.1200,4.170
7.1600,4.157
7.2000,4.133
7.2400,4.067
7.2800,4.124
7.3200,4.030
7.3600,4.060
7.4000,4.134
7.4400,4.123
7.4800,4.065
7.5200,4.053
7.5600,4.015
7.6000,4.089
7.6400,4.040
7.6800,4.068
7.7200,4.064
7.7600,4.073
7.8000,3.900
7.8400,3.971
7.8800,3.993
7.9200,4.051
7.9600,3.959
8.0000,3.975
8.0400,3.828
8.0800,3.842
8.1200,4.006
8.1600,3.993
8.2000,3.833
8.2400,3.761
8.2800,3.922
8.3200,3.858
8.3600,3.984
8.4000,3.975
8.4400,3.905
8.4800,3.812
8.5200,3.900
8.5600,3.944
8.6000,3.907
8.6400,3.980
8.6800,3.870
8.7200,3.805
8.7600,3.873
8.8000,3.867
8.8400,3.836
8.8800,3.939
8.9200,3.879
8.9600,3.872
9.0000,3.824
9.0400,3.861
9.0800,3.798
9.1200,3.784
9.1600,3.794
9.2000,3.785
9.2400,3.770
9.2800,3.868
9.3200,3.847
9.3600,3.752
9.4000,3.874
9.4400,3.740
9.4800,3.783
9.5200,3.874
9.5600,3.621
9.6000,3.741
9.6400,3.810
9.6800,3.801
9.7200,3.640
9.7600,3.723
9.8000,3.854
9.8400,3.737
9.8800,3.624
9.9200,3.761
9.9600,3.773
10.0000,3.718
10.0400,3.669
10.0800,3.677
10.1200,3.665
10.1600,3.761
10.2000,3.712
10.2400,3.588
10.2800,3.683
10.3200,3.684
10.3600,3.608
10.4000,3.711
10.4400,3.548
10.4800,3.634
10.5200,3.662
10.5600,3.622
10.6000,3.667
10.6400,3.605
10.6800,3.716
10.7200,3.618
10.7600,3.631
10.8000,3.580
10.8400,3.546
10.8800,3.582
10.9200,3.551
10.9600,3.502
11.0000,3.510
11.0400,3.606
11.0800,3.621
11.1200,3.581
11.1600,3.540
11.2000,3.593
11.2400,3.593
11.2800,3.578
11.3200,3.438
11.3600,3.495
11.4000,3.511
11.4400,3.571
11.4800,3.551
11.5200,3.599
11.5600,3.544
11.6000,3.503
11.6400,3.459
11.6800,3.519
11.7200,3.626
11.7600,3.454
11.8000,3.514
11.8400,3.559
11.8800,3.593
11.9200,3.440
