theta,intensity
5.0000,5.760
5.0400,5.734
5.0800,5.652
5.1200,5.526
5.1600,5.593
5.2000,5.432
5.2400,5.335
5.2800,5.322
5.3200,5.388
5.3600,5.287
5.4000,5.215
5.4400,5.259
5.4800,5.248
5.5200,4.986
5.5600,5.033
5.6000,5.105
5.6400,5.005
5.6800,4.852
5.7200,4.845
5.7600,4.908
5.8000,4.664
5.8400,4.709
5.8800,4.596
5.9200,4.607
5.9600,4.485
6.0000,4.555
6.0400,4.474
6.0800,4.461
6.1200,4.371
6.1600,4.413
6.2000,4.379
6.2400,4.395
6.2800,4.198
6.3200,4.199
6.3600,4.237
6.4000,4.241
6.4400,4.148
6.4800,4.113
6.5200,4.016
6.5600,4.015
6.6000,4.077
6.6400,3.975
6.6800,4.177
6.7200,4.055
6.7600,4.057
6.8000,4.059
6.8400,4.096
6.8800,4.024
6.9200,4.044
6.9600,4.019
7.0000,4.006
7.0400,4.058
7.0800,3.970
7.1200,3.977
7.1600,4.038
7.2000,3.976
7.2400,4.000
7.2800,4.016
7.3200,3.900
7.3600,3.948
7.4000,3.923
7.4400,3.936
7.4800,4.022
7.5200,3.855
7.5600,3.979
7.6000,3.917
7.6400,3.867
7.6800,3.877
7.7200,3.823
7.7600,3.861
7.8000,3.909
7.8400,3.924
7.8800,3.951
7.9200,3.817
7.9600,3.892
8.0000,3.884
8.0400,3.869
8.0800,3.872
8.1200,3.884
8.1600,3.813
8.2000,3.709
8.2400,3.849
8.2800,3.816
8.3200,3.892
8.3600,3.863
8.4000,3.892
8.4400,3.714
8.4800,3.854
8.5200,3.799
8.5600,3.652
8.6000,3.829
8.6400,3.836
8.6800,3.781
8.7200,3.795
8.7600,3.795
8.8000,3.811
8.8400,3.825
8.8800,3.739
8.9200,3.781
8.9600,3.702
9.0000,3.755
9.0400,3.731
9.0800,3.648
9.1200,3.734
9.1600,3.731
9.2000,3.775
9.2400,3.672
9.2800,3.699
9.3200,3.676
9.3600,3.724
9.4000,3.728
9.4400,3.573
9.4800,3.740
