theta,intensity
5.0000,11.788
5.0400,11.616
5.0800,11.657
5.1200,11.517
5.1600,11.443
5.2000,11.337
5.2400,11.252
5.2800,11.252
5.3200,11.204
5.3600,11.011
5.4000,11.098
5.4400,10.819
5.4800,10.801
5.5200,10.742
5.5600,10.588
5.6000,10.483
5.6400,10.493
5.6800,10.308
5.7200,10.144
5.7600,10.066
5.8000,10.041
5.8400,10.110
5.8800,9.979
5.9200,9.638
5.9600,9.612
6.0000,9.535
6.0400,9.363
6.0800,9.184
6.1200,9.281
6.1600,9.140
6.2000,9.031
6.2400,9.008
6.2800,8.596
6.3200,8.379
6.3600,8.504
6.4000,8.430
6.4400,8.341
6.4800,8.278
6.5200,8.061
6.5600,8.087
6.6000,7.863
6.6400,7.874
6.6800,7.866
6.7200,7.743
6.7600,7.673
6.8000,7.582
6.8400,7.558
6.8800,7.361
6.9200,7.435
6.9600,7.263
7.0000,7.160
7.0400,7.219
7.0800,7.124
7.1200,6.986
7.1600,6.873
7.2000,6.754
7.2400,6.946
7.2800,6.799
7.3200,6.756
7.3600,6.665
7.4000,6.588
7.4400,6.574
7.4800,6.434
7.5200,6.605
7.5600,6.353
7.6000,6.253
7.6400,6.123
7.6800,6.162
7.7200,6.095
7.7600,5.998
7.8000,5.850
7.8400,5.953
7.8800,5.928
7.9200,5.905
7.9600,5.916
8.0000,5.790
8.0400,5.733
8.0800,5.622
8.1200,5.533
8.1600,5.495
8.2000,5.559
8.2400,5.486
8.2800,5.484
8.3200,5.493
8.3600,5.328
8.4000,5.372
8.4400,5.334
8.4800,5.268
8.5200,5.200
8.5600,5.165
8.6000,5.173
8.6400,5.021
8.6800,4.988
8.7200,5.052
8.7600,4.962
8.8000,5.016
8.8400,5.015
8.8800,4.997
8.9200,4.920
8.9600,4.907
9.0000,4.820
9.0400,4.703
9.0800,4.897
9.1200,4.647
9.1600,4.693
9.2000,4.687
9.2400,4.686
9.2800,4.650
9.3200,4.675
9.3600,4.555
9.4000,4.497
9.4400,4.607
9.4800,4.581
9.5200,4.403
9.5600,4.470
9.6000,4.482
9.6400,4.432
9.6800,4.367
9.7200,4.277
9.7600,4.361
9.8000,4.301
9.8400,4.348
9.8800,4.397
9.9200,4.335
9.9600,4.349
10.0000,4.320
10.0400,4.219
10.0800,4.182
10.1200,4.272
10.1600,4.119
10.2000,4.231
10.2400,4.101
10.2800,4.189
10.3200,4.079
10.3600,4.021
10.4000,3.992
10.4400,3.989
10.4800,3.994
10.5200,3.998
10.5600,3.949
10.6000,3.958
10.6400,3.958
10.6800,3.947
10.7200,3.932
10.7600,3.921
10.8000,3.911
10.8400,3.861
10.8800,3.883
10.9200,3.946
10.9600,3.852
11.0000,3.791
11.0400,3.876
11.0800,3.817
11.1200,3.785
11.1600,3.714
11.2000,3.762
11.2400,3.895
11.2800,3.724
11.3200,3.698
11.3600,3.743
11.4000,3.705
11.4400,3.743
11.4800,3.775
11.5200,3.744
11.5600,3.535
11.6000,3.563
11.6400,3.689
11.6800,3.658
11.7200,3.632
11.7600,3.544
11.8000,3.560
11.8400,3.578
11.8800,3.595
11.9200,3.420
11.9600,3.543
12.0000,3.621
12.0400,3.552
12.0800,3.693
12.1200,3.613
12.1600,3.465
12.2000,3.479
12.2400,3.479
12.2800,3.393
12.3200,3.524
12.3600,3.533
12.4000,3.561
12.4400,3.431
12.4800,3.359
12.5200,3.424
12.5600,3.524
12.6000,3.418
12.6400,3.408
12.6800,3.386
12.7200,3.399
12.7600,3.415
12.8000,3.441
12.8400,3.416
12.8800,3.445
12.9200,3.488
12.9600,3.456
13.0000,3.351
13.0400,3.408
13.0800,3.370
13.1200,3.367
13.1600,3.445
13.2000,3.315
13.2400,3.454
13.2800,3.365
13.3200,3.247
13.3600,3.309
13.4000,3.425
13.4400,3.362
13.4800,3.398
13.5200,3.403
13.5600,3.318
13.6000,3.343
13.6400,3.364
13.6800,3.373
13.7200,3.293
13.7600,3.284
13.8000,3.297
13.8400,3.395
13.8800,3.306
13.9200,3.234
13.9600,3.351
14.0000,3.330
14.0400,3.380
14.0800,3.202
14.1200,3.214
14.1600,3.292
14.2000,3.256
14.2400,3.255
14.2800,3.322
14.3200,3.272
14.3600,3.267
14.4000,3.265
14.4400,3.222
14.4800,3.269
14.5200,3.220
14.5600,3.287
14.6000,3.165
14.6400,3.248
14.6800,3.231
14.7200,3.161
14.7600,3.190
14.8000,3.164
14.8400,3.161
14.8800,3.165
14.9200,3.195
14.9600,3.184
15.0000,3.214
15.0400,3.127
15.0800,3.146
15.1200,3.209
15.1600,3.202
15.2000,3.135
15.2400,3.194
15.2800,3.210
15.3200,3.200
15.3600,3.222
15.4000,3.214
15.4400,3.152
15.4800,3.137
15.5200,3.105
15.5600,3.117
15.6000,3.108
15.6400,3.045
15.6800,3.075
15.7200,3.126
15.7600,3.066
15.8000,2.980
15.8400,3.093
15.8800,3.125
15.9200,3.169
15.9600,2.974
16.0000,3.048
16.0400,3.147
16.0800,3.072
16.1200,3.090
16.1600,3.136
16.2000,3.107
16.2400,3.051
16.2800,3.120
16.3200,3.047
16.3600,3.031
16.4000,3.063
16.4400,3.050
16.4800,3.034
16.5200,3.085
16.5600,3.075
16.6000,2.928
16.6400,2.915
16.6800,2.976
16.7200,3.010
16.7600,2.990
16.8000,3.025
16.8400,2.950
16.8800,2.924
16.9200,2.860
16.9600,3.054
17.0000,2.981
17.0400,2.966
17.0800,2.987
17.1200,2.950
17.1600,2.937
17.2000,2.926
17.2400,2.983
17.2800,2.972
17.3200,2.958
17.3600,2.931
17.4000,2.848
17.4400,2.902
17.4800,2.911
17.5200,2.949
17.5600,3.073
17.6000,2.843
17.6400,2.950
17.6800,2.947
17.7200,2.990
17.7600,2.969
17.8000,3.004
17.8400,2.958
17.8800,2.990
17.9200,2.965
17.9600,2.979
18.0000,2.948
18.0400,3.000
18.0800,2.972
18.1200,3.015
18.1600,3.055
18.2000,3.303
18.2400,3.293
18.2800,3.291
18.3200,3.286
18.3600,3.169
18.4000,2.983
18.4400,2.911
18.4800,2.874
18.5200,2.739
18.5600,2.898
18.6000,2.813
18.6400,2.789
18.6800,2.771
18.7200,2.905
18.7600,2.761
18.8000,2.868
18.8400,2.895
18.8800,2.825
18.9200,2.874
18.9600,2.821
19.0000,2.820
19.0400,2.723
19.0800,2.804
19.1200,2.743
19.1600,2.798
19.2000,2.806
19.2400,2.736
19.2800,2.794
19.3200,2.855
19.3600,2.734
19.4000,2.711
19.4400,2.746
19.4800,2.780
19.5200,2.694
19.5600,2.724
19.6000,2.735
19.6400,2.814
19.6800,2.731
19.7200,2.702
19.7600,2.701
19.8000,2.638
19.8400,2.641
19.8800,2.690
19.9200,2.722
19.9600,2.701
20.0000,2.697
20.0400,2.679
20.0800,2.728
20.1200,2.627
20.1600,2.687
20.2000,2.607
20.2400,2.728
20.2800,2.658
20.3200,2.606
20.3600,2.722
20.4000,2.696
20.4400,2.688
20.4800,2.624
20.5200,2.636
20.5600,2.630
20.6000,2.633
20.6400,2.690
20.6800,2.583
20.7200,2.647
20.7600,2.660
20.8000,2.536
20.8400,2.623
20.8800,2.648
20.9200,2.629
20.9600,2.570
21.0000,2.672
21.0400,2.598
21.0800,2.507
21.1200,2.637
21.1600,2.526
21.2000,2.635
21.2400,2.573
21.2800,2.567
21.3200,2.599
21.3600,2.509
21.4000,2.562
21.4400,2.520
21.4800,2.602
21.5200,2.480
21.5600,2.555
21.6000,2.556
21.6400,2.625
21.6800,2.519
21.7200,2.598
21.7600,2.596
21.8000,2.527
21.8400,2.589
21.8800,2.592
21.9200,2.576
21.9600,2.528
22.0000,2.558
22.0400,2.557
22.0800,2.496
22.1200,2.433
22.1600,2.519
22.2000,2.637
22.2400,2.542
22.2800,2.512
22.3200,2.530
22.3600,2.538
22.4000,2.511
22.4400,2.594
22.4800,2.538
22.5200,2.446
22.5600,2.482
22.6000,2.454
22.6400,2.422
22.6800,2.440
22.7200,2.502
22.7600,2.489
22.8000,2.478
22.8400,2.402
22.8800,2.506
22.9200,2.388
22.9600,2.454
23.0000,2.493
23.0400,2.440
23.0800,2.461
23.1200,2.447
23.1600,2.430
23.2000,2.387
23.2400,2.399
23.2800,2.392
23.3200,2.423
23.3600,2.496
23.4000,2.444
23.4400,2.388
23.4800,2.477
23.5200,2.508
23.5600,2.539
23.6000,2.393
23.6400,2.438
23.6800,2.433
23.7200,2.505
23.7600,2.426
23.8000,2.433
23.8400,2.464
23.8800,2.483
23.9200,2.528
23.9600,2.432
24.0000,2.496
24.0400,2.438
24.0800,2.468
24.1200,2.483
24.1600,2.387
24.2000,2.433
24.2400,2.466
24.2800,2.445
24.3200,2.486
24.3600,2.384
24.4000,2.464
24.4400,2.396
24.4800,2.432
24.5200,2.381
24.5600,2.380
24.6000,2.455
24.6400,2.384
24.6800,2.273
24.7200,2.345
24.7600,2.325
24.8000,2.355
24.8400,2.255
24.8800,2.298
24.9200,2.286
24.9600,2.278
25.0000,2.326
25.0400,2.362
25.0800,2.309
25.1200,2.337
25.1600,2.279
25.2000,2.219
25.2400,2.343
25.2800,2.258
25.3200,2.273
25.3600,2.174
25.4000,2.290
25.4400,2.223
25.4800,2.294
25.5200,2.227
25.5600,2.233
25.6000,2.221
25.6400,2.212
25.6800,2.244
25.7200,2.270
25.7600,2.222
25.8000,2.230
25.8400,2.181
25.8800,2.270
25.9200,2.155
25.9600,2.227
26.0000,2.206
26.0400,2.261
26.0800,2.171
26.1200,2.215
26.1600,2.180
26.2000,2.135
26.2400,2.132
26.2800,2.209
26.3200,2.204
26.3600,2.175
26.4000,2.188
26.4400,2.190
26.4800,2.389
26.5200,2.474
26.5600,2.607
26.6000,2.614
26.6400,2.600
26.6800,2.343
26.7200,2.238
26.7600,2.179
26.8000,2.173
26.8400,2.160
26.8800,2.092
26.9200,2.103
26.9600,2.212
27.0000,2.165
27.0400,2.111
27.0800,2.044
27.1200,2.173
27.1600,2.163
27.2000,2.152
27.2400,2.145
27.2800,2.110
27.3200,2.136
27.3600,2.118
27.4000,2.182
27.4400,2.064
27.4800,2.156
27.5200,2.085
27.5600,2.056
27.6000,2.067
27.6400,2.056
27.6800,2.023
27.7200,2.087
27.7600,2.118
27.8000,2.141
27.8400,2.052
27.8800,2.131
27.9200,2.142
27.9600,2.049
28.0000,2.080
28.0400,2.107
28.0800,2.077
28.1200,2.009
28.1600,2.035
28.2000,2.089
28.2400,2.019
28.2800,1.998
28.3200,2.096
28.3600,2.058
28.4000,2.089
28.4400,2.090
28.4800,2.114
28.5200,2.110
28.5600,2.158
28.6000,2.072
28.6400,2.111
28.6800,2.178
28.7200,2.142
28.7600,2.125
28.8000,2.238
28.8400,2.349
28.8800,2.266
28.9200,2.270
28.9600,2.314
29.0000,2.413
29.0400,2.463
29.0800,2.653
29.1200,2.659
29.1600,2.705
29.2000,2.852
29.2400,2.889
29.2800,3.015
29.3200,3.232
29.3600,3.225
29.4000,3.382
29.4400,3.425
29.4800,3.584
29.5200,3.664
29.5600,3.875
29.6000,4.097
29.6400,4.327
29.6800,4.760
29.7200,5.118
29.7600,5.929
29.8000,6.639
29.8400,7.023
29.8800,6.762
29.9200,5.891
29.9600,4.957
30.0000,4.098
30.0400,3.320
30.0800,2.933
30.1200,2.713
30.1600,2.549
30.2000,2.411
30.2400,2.228
30.2800,2.258
30.3200,2.162
30.3600,2.030
30.4000,2.114
30.4400,2.046
30.4800,2.081
30.5200,2.132
30.5600,2.680
30.6000,4.135
30.6400,4.778
30.6800,4.199
30.7200,3.404
30.7600,2.481
30.8000,1.952
30.8400,1.962
30.8800,1.908
30.9200,1.899
30.9600,1.741
31.0000,1.817
31.0400,1.856
31.0800,1.888
31.1200,1.826
31.1600,1.823
31.2000,1.811
31.2400,1.802
31.2800,1.784
31.3200,1.769
31.3600,1.844
31.4000,1.879
31.4400,1.937
31.4800,1.940
31.5200,1.825
31.5600,1.834
31.6000,1.856
31.6400,1.836
31.6800,1.887
31.7200,1.815
31.7600,1.866
