theta,intensity
5.0000,4.361
5.0400,4.284
5.0800,4.355
5.1200,4.194
5.1600,4.227
5.2000,4.301
5.2400,4.305
5.2800,4.133
5.3200,4.126
5.3600,4.185
5.4000,4.176
5.4400,4.184
5.4800,4.053
5.5200,4.081
5.5600,4.025
5.6000,4.127
5.6400,4.031
5.6800,3.998
5.7200,4.109
5.7600,4.088
5.8000,4.080
5.8400,4.085
5.8800,4.102
5.9200,4.100
5.9600,4.042
6.0000,4.120
6.0400,4.025
6.0800,4.059
6.1200,4.110
6.1600,4.008
6.2000,3.932
6.2400,4.010
6.2800,4.057
6.3200,4.025
6.3600,4.027
6.4000,3.946
6.4400,4.009
6.4800,3.937
6.5200,3.891
6.5600,4.029
6.6000,3.939
6.6400,3.958
6.6800,3.983
6.7200,3.934
6.7600,3.906
6.8000,3.995
6.8400,3.938
6.8800,3.866
6.9200,3.863
6.9600,3.861
7.0000,3.889
7.0400,3.784
7.0800,3.856
7.1200,3.919
7.1600,3.898
7.2000,3.938
7.2400,3.853
7.2800,3.945
7.3200,3.869
7.3600,3.838
7.4000,3.762
7.4400,3.904
7.4800,3.897
7.5200,3.890
7.5600,3.908
7.6000,3.764
7.6400,3.743
7.6800,3.759
7.7200,3.809
7.7600,3.870
7.8000,3.832
7.8400,3.734
7.8800,3.858
7.9200,3.818
7.9600,3.656
8.0000,3.865
8.0400,3.783
8.0800,3.734
8.1200,3.736
8.1600,3.846
8.2000,3.714
8.2400,3.748
8.2800,3.721
8.3200,3.785
8.3600,3.763
8.4000,3.729
8.4400,3.822
8.4800,3.685
8.5200,3.834
8.5600,3.685
8.6000,3.707
8.6400,3.584
8.6800,3.751
8.7200,3.665
8.7600,3.593
8.8000,3.680
8.8400,3.543
8.8800,3.667
8.9200,3.664
8.9600,3.667
9.0000,3.585
9.0400,3.619
9.0800,3.648
9.1200,3.691
9.1600,3.735
9.2000,3.690
9.2400,3.714
9.2800,3.645
9.3200,3.620
9.3600,3.679
9.4000,3.627
9.4400,3.652
9.4800,3.679
9.5200,3.654
