theta,intensity
5.0000,4.950
5.0400,4.821
5.0800,4.756
5.1200,4.737
5.1600,4.660
5.2000,4.685
5.2400,4.457
5.2800,4.498
5.3200,4.497
5.3600,4.535
5.4000,4.368
5.4400,4.333
5.4800,4.383
5.5200,4.257
5.5600,4.341
5.6000,4.271
5.6400,4.328
5.6800,4.253
5.7200,4.103
5.7600,4.294
5.8000,4.166
5.8400,4.245
5.8800,4.267
5.9200,4.300
5.9600,4.227
6.0000,4.235
6.0400,4.257
6.0800,4.096
6.1200,4.141
6.1600,4.182
6.2000,4.168
6.2400,4.109
6.2800,4.185
6.3200,4.068
6.3600,4.079
6.4000,4.097
6.4400,4.138
6.4800,4.084
6.5200,4.084
6.5600,4.202
6.6000,4.063
6.6400,4.052
6.6800,4.065
6.7200,4.068
6.7600,3.982
6.8000,3.971
6.8400,4.021
6.8800,4.128
6.9200,3.967
6.9600,3.918
7.0000,4.102
7.0400,3.972
7.0800,4.044
7.1200,3.950
7.1600,4.013
7.2000,3.960
7.2400,3.967
7.2800,4.031
7.3200,3.830
7.3600,3.892
7.4000,4.015
7.4400,3.995
7.4800,3.956
7.5200,3.973
7.5600,3.824
7.6000,4.011
7.6400,3.930
7.6800,3.868
7.7200,3.859
7.7600,3.902
7.8000,3.823
7.8400,3.916
7.8800,3.823
7.9200,3.898
7.9600,3.905
8.0000,3.908
8.0400,3.915
8.0800,3.929
8.1200,3.955
8.1600,3.872
8.2000,3.923
8.2400,3.817
8.2800,3.926
8.3200,3.824
8.3600,3.837
8.4000,3.894
8.4400,3.643
8.4800,3.842
8.5200,3.711
8.5600,3.829
8.6000,3.801
8.6400,3.894
8.6800,3.855
8.7200,3.727
8.7600,3.790
8.8000,3.791
8.8400,3.818
8.8800,3.761
8.9200,3.659
8.9600,3.707
9.0000,3.716
9.0400,3.752
9.0800,3.734
9.1200,3.644
9.1600,3.657
9.2000,3.746
9.2400,3.698
9.2800,3.712
9.3200,3.795
9.3600,3.812
9.4000,3.663
9.4400,3.703
9.4800,3.738
9.5200,3.764
9.5600,3.703
9.6000,3.743
9.6400,3.740
9.6800,3.594
9.7200,3.671
9.7600,3.663
9.8000,3.733
9.8400,3.708
9.8800,3.603
9.9200,3.730
9.9600,3.633
