theta,intensity
5.0000,6.232
5.0400,6.137
5.0800,5.978
5.1200,5.877
5.1600,5.830
5.2000,5.705
5.2400,5.570
5.2800,5.347
5.3200,5.281
5.3600,5.233
5.4000,5.232
5.4400,4.958
5.4800,4.928
5.5200,4.913
5.5600,4.841
5.6000,4.729
5.6400,4.643
5.6800,4.594
5.7200,4.491
5.7600,4.395
5.8000,4.447
5.8400,4.433
5.8800,4.410
5.9200,4.307
5.9600,4.331
6.0000,4.369
6.0400,4.313
6.0800,4.132
6.1200,4.328
6.1600,4.280
6.2000,4.173
6.2400,4.236
6.2800,4.281
6.3200,4.230
6.3600,4.233
6.4000,4.227
6.4400,4.062
6.4800,4.170
6.5200,4.188
6.5600,4.250
6.6000,4.284
6.6400,4.180
6.6800,4.162
6.7200,4.152
6.7600,4.182
6.8000,4.202
6.8400,4.088
6.8800,4.116
6.9200,4.069
6.9600,4.142
7.0000,4.163
7.0400,4.171
7.0800,4.094
7.1200,4.062
7.1600,4.086
7.2000,4.049
7.2400,4.170
7.2800,4.125
7.3200,4.085
7.3600,4.060
7.4000,4.110
7.4400,4.022
7.4800,4.056
7.5200,4.162
7.5600,4.015
7.6000,4.038
7.6400,4.010
7.6800,3.998
7.7200,3.896
7.7600,4.075
7.8000,4.083
7.8400,4.094
7.8800,4.057
7.9200,3.958
7.9600,3.909
8.0000,3.926
8.0400,4.121
8.0800,3.908
8.1200,4.107
8.1600,3.880
8.2000,3.902
8.2400,3.952
8.2800,3.933
8.3200,3.897
8.3600,3.922
8.4000,3.965
8.4400,3.854
8.4800,3.859
8.5200,3.876
8.5600,3.859
8.6000,3.908
8.6400,3.919
8.6800,3.857
8.7200,3.884
8.7600,3.830
8.8000,3.877
8.8400,3.897
8.8800,3.866
8.9200,3.744
8.9600,3.834
9.0000,3.924
9.0400,3.833
9.0800,3.761
9.1200,3.911
9.1600,3.769
9.2000,3.876
9.2400,3.901
9.2800,3.784
9.3200,3.849
9.3600,3.833
9.4000,3.819
9.4400,3.771
9.4800,3.710
9.5200,3.810
9.5600,3.653
9.6000,3.835
9.6400,3.769
9.6800,3.787
9.7200,3.812
9.7600,3.811
9.8000,3.703
9.8400,3.694
9.8800,3.675
9.9200,3.670
9.9600,3.667
10.0000,3.637
10.0400,3.633
10.0800,3.747
10.1200,3.799
10.1600,3.791
10.2000,3.696
10.2400,3.748
10.2800,3.637
10.3200,3.701
10.3600,3.766
10.4000,3.744
10.4400,3.649
10.4800,3.583
10.5200,3.759
10.5600,3.673
10.6000,3.639
10.6400,3.545
10.6800,3.666
10.7200,3.644
10.7600,3.672
10.8000,3.647
10.8400,3.576
10.8800,3.627
10.9200,3.635
10.9600,3.676
11.0000,3.676
11.0400,3.583
11.0800,3.607
11.1200,3.607
11.1600,3.546
11.2000,3.577
11.2400,3.529
11.2800,3.653
11.3200,3.626
11.3600,3.576
11.4000,3.549
11.4400,3.608
11.4800,3.652
11.5200,3.480
11.5600,3.591
11.6000,3.569
11.6400,3.555
11.6800,3.565
11.7200,3.496
11.7600,3.536
11.8000,3.450
11.8400,3.543
11.8800,3.507
11.9200,3.561
11.9600,3.505
12.0000,3.594
12.0400,3.503
12.0800,3.517
12.1200,3.625
12.1600,3.427
12.2000,3.436
12.2400,3.503
12.2800,3.545
12.3200,3.368
12.3600,3.471
12.4000,3.557
12.4400,3.520
12.4800,3.426
12.5200,3.420
12.5600,3.463
12.6000,3.292
12.6400,3.509
12.6800,3.432
12.7200,3.469
12.7600,3.355
12.8000,3.465
12.8400,3.422
12.8800,3.476
12.9200,3.451
12.9600,3.375
13.0000,3.423
13.0400,3.439
13.0800,3.452
13.1200,3.363
13.1600,3.407
13.2000,3.335
13.2400,3.462
13.2800,3.392
13.3200,3.422
13.3600,3.322
13.4000,3.435
13.4400,3.292
13.4800,3.432
13.5200,3.315
13.5600,3.436
13.6000,3.422
13.6400,3.383
13.6800,3.275
13.7200,3.280
13.7600,3.305
13.8000,3.376
13.8400,3.306
13.8800,3.260
13.9200,3.253
13.9600,3.360
14.0000,3.342
14.0400,3.287
14.0800,3.337
14.1200,3.269
14.1600,3.311
14.2000,3.249
14.2400,3.261
14.2800,3.330
14.3200,3.228
14.3600,3.259
14.4000,3.357
14.4400,3.284
14.4800,3.270
14.5200,3.320
14.5600,3.263
14.6000,3.280
14.6400,3.261
14.6800,3.248
14.7200,3.276
14.7600,3.333
14.8000,3.187
14.8400,3.226
14.8800,3.155
14.9200,3.325
14.9600,3.329
15.0000,3.234
15.0400,3.316
15.0800,3.172
15.1200,3.179
15.1600,3.227
15.2000,3.175
15.2400,3.277
15.2800,3.278
15.3200,3.241
15.3600,3.218
15.4000,3.170
15.4400,3.182
15.4800,3.132
15.5200,3.163
15.5600,3.102
15.6000,3.208
15.6400,3.141
15.6800,3.085
15.7200,3.056
15.7600,3.160
15.8000,3.122
15.8400,3.084
15.8800,3.201
15.9200,3.126
15.9600,3.092
16.0000,3.056
16.0400,3.141
16.0800,3.106
16.1200,3.083
16.1600,3.130
16.2000,3.072
16.2400,3.052
16.2800,3.155
16.3200,3.107
16.3600,3.171
16.4000,3.052
16.4400,3.088
16.4800,3.054
16.5200,3.058
16.5600,3.136
16.6000,3.071
16.6400,3.098
16.6800,2.995
16.7200,3.147
16.7600,2.830
16.8000,3.001
16.8400,3.187
16.8800,3.018
16.9200,2.960
16.9600,2.976
17.0000,2.882
17.0400,2.997
17.0800,3.011
17.1200,3.014
17.1600,3.023
17.2000,3.103
17.2400,3.059
17.2800,2.966
17.3200,3.048
17.3600,2.985
17.4000,2.958
17.4400,2.934
17.4800,2.907
17.5200,3.045
17.5600,2.996
17.6000,2.900
17.6400,2.962
17.6800,2.939
17.7200,2.972
17.7600,2.929
17.8000,2.911
17.8400,2.816
17.8800,2.884
17.9200,2.873
17.9600,2.857
18.0000,2.844
18.0400,2.876
18.0800,2.918
18.1200,2.947
18.1600,2.875
18.2000,2.910
18.2400,2.859
18.2800,2.832
18.3200,2.915
18.3600,2.884
18.4000,2.937
18.4400,2.912
18.4800,2.784
18.5200,2.845
18.5600,2.859
18.6000,2.827
18.6400,2.924
18.6800,2.909
18.7200,2.828
18.7600,2.860
18.8000,2.822
18.8400,2.788
18.8800,2.825
18.9200,2.801
18.9600,2.875
19.0000,2.854
19.0400,2.858
19.0800,2.819
19.1200,2.834
19.1600,2.856
19.2000,2.731
19.2400,2.676
19.2800,2.802
19.3200,2.769
19.3600,2.856
19.4000,2.822
19.4400,2.712
19.4800,2.792
19.5200,2.840
19.5600,2.840
19.6000,2.746
19.6400,2.765
19.6800,2.775
19.7200,2.756
19.7600,2.776
19.8000,2.761
19.8400,2.689
19.8800,2.849
19.9200,2.734
19.9600,2.753
20.0000,2.707
20.0400,2.685
20.0800,2.722
20.1200,2.706
20.1600,2.749
20.2000,2.729
20.2400,2.697
20.2800,2.757
20.3200,2.676
20.3600,2.774
20.4000,2.636
20.4400,2.694
20.4800,2.702
20.5200,2.705
20.5600,2.802
20.6000,2.682
20.6400,2.668
20.6800,2.691
20.7200,2.715
20.7600,2.682
20.8000,2.658
20.8400,2.656
20.8800,2.716
20.9200,2.702
20.9600,2.752
21.0000,2.798
21.0400,2.674
21.0800,2.708
21.1200,2.705
21.1600,2.658
21.2000,2.775
21.2400,2.694
21.2800,2.696
21.3200,2.865
21.3600,2.848
21.4000,3.133
21.4400,3.493
21.4800,3.538
21.5200,3.371
21.5600,3.113
21.6000,2.873
21.6400,2.744
21.6800,2.738
21.7200,2.732
21.7600,2.629
21.8000,2.708
21.8400,2.612
21.8800,2.632
21.9200,2.567
21.9600,2.579
22.0000,2.562
22.0400,2.563
22.0800,2.508
22.1200,2.479
22.1600,2.566
22.2000,2.514
22.2400,2.572
22.2800,2.473
22.3200,2.480
22.3600,2.515
22.4000,2.511
22.4400,2.571
22.4800,2.493
22.5200,2.594
22.5600,2.553
22.6000,2.549
22.6400,2.489
22.6800,2.574
22.7200,2.598
22.7600,2.443
22.8000,2.544
22.8400,2.446
22.8800,2.470
22.9200,2.513
22.9600,2.488
23.0000,2.402
23.0400,2.485
23.0800,2.450
23.1200,2.498
23.1600,2.344
23.2000,2.430
23.2400,2.411
23.2800,2.469
23.3200,2.503
23.3600,2.362
23.4000,2.342
23.4400,2.409
23.4800,2.374
23.5200,2.450
23.5600,2.352
23.6000,2.408
23.6400,2.464
23.6800,2.348
23.7200,2.374
23.7600,2.308
23.8000,2.390
23.8400,2.355
23.8800,2.337
23.9200,2.383
23.9600,2.423
24.0000,2.304
24.0400,2.369
24.0800,2.375
24.1200,2.380
24.1600,2.310
24.2000,2.390
24.2400,2.384
24.2800,2.324
24.3200,2.291
24.3600,2.292
24.4000,2.307
24.4400,2.339
24.4800,2.382
24.5200,2.357
24.5600,2.420
24.6000,2.322
24.6400,2.365
24.6800,2.318
24.7200,2.331
24.7600,2.354
24.8000,2.283
24.8400,2.243
24.8800,2.239
24.9200,2.227
24.9600,2.251
25.0000,2.180
25.0400,2.324
25.0800,2.295
25.1200,2.184
25.1600,2.307
25.2000,2.369
25.2400,2.294
25.2800,2.249
25.3200,2.276
25.3600,2.333
25.4000,2.191
25.4400,2.294
25.4800,2.289
25.5200,2.209
25.5600,2.249
25.6000,2.196
25.6400,2.224
25.6800,2.159
25.7200,2.229
25.7600,2.202
25.8000,2.269
25.8400,2.255
25.8800,2.252
25.9200,2.252
25.9600,2.178
26.0000,2.256
26.0400,2.160
26.0800,2.207
26.1200,2.181
26.1600,2.224
26.2000,2.217
26.2400,2.175
26.2800,2.216
26.3200,2.227
26.3600,2.245
26.4000,2.163
26.4400,2.135
26.4800,2.160
26.5200,2.203
26.5600,2.204
26.6000,2.160
26.6400,2.182
26.6800,2.108
26.7200,2.146
26.7600,2.223
26.8000,2.091
26.8400,2.193
26.8800,2.148
26.9200,2.178
26.9600,2.121
27.0000,2.142
27.0400,2.169
27.0800,2.091
27.1200,2.105
27.1600,2.109
27.2000,2.135
27.2400,2.062
27.2800,2.092
27.3200,2.117
27.3600,2.020
27.4000,2.074
27.4400,2.100
27.4800,2.115
27.5200,2.073
27.5600,2.092
27.6000,2.052
27.6400,2.056
27.6800,2.109
27.7200,2.068
27.7600,2.124
27.8000,2.119
27.8400,2.059
27.8800,2.093
27.9200,2.045
27.9600,2.087
28.0000,1.965
28.0400,2.095
28.0800,2.036
28.1200,2.007
28.1600,2.061
28.2000,2.098
28.2400,2.058
28.2800,2.015
28.3200,2.080
28.3600,2.137
28.4000,2.078
28.4400,2.128
28.4800,2.063
28.5200,2.083
28.5600,2.125
28.6000,2.050
28.6400,2.054
28.6800,1.990
28.7200,2.038
28.7600,2.073
28.8000,2.045
28.8400,2.091
28.8800,2.071
28.9200,2.127
28.9600,2.060
29.0000,1.976
29.0400,2.064
29.0800,2.025
29.1200,2.104
29.1600,1.999
29.2000,2.053
29.2400,2.056
29.2800,1.995
29.3200,1.995
29.3600,2.069
29.4000,2.124
29.4400,1.995
29.4800,2.055
29.5200,2.035
29.5600,2.053
29.6000,1.904
29.6400,2.081
29.6800,2.017
29.7200,2.136
29.7600,2.070
29.8000,2.083
29.8400,2.074
29.8800,2.156
29.9200,2.078
29.9600,2.108
30.0000,2.142
30.0400,2.127
30.0800,2.215
30.1200,2.183
30.1600,2.245
30.2000,2.292
30.2400,2.265
30.2800,2.344
30.3200,2.613
30.3600,2.801
30.4000,3.328
30.4400,3.725
30.4800,5.342
30.5200,7.754
30.5600,9.215
30.6000,8.385
30.6400,7.023
30.6800,5.060
30.7200,3.790
30.7600,3.215
30.8000,2.875
30.8400,2.737
30.8800,2.508
30.9200,2.506
30.9600,2.354
31.0000,2.188
31.0400,2.266
31.0800,2.227
31.1200,2.230
31.1600,2.201
31.2000,2.224
31.2400,2.197
31.2800,2.229
31.3200,2.168
31.3600,2.251
31.4000,2.316
31.4400,2.234
31.4800,2.184
31.5200,2.301
31.5600,2.323
31.6000,2.318
31.6400,2.466
31.6800,2.447
31.7200,2.513
31.7600,2.534
31.8000,2.439
31.8400,2.372
31.8800,2.484
31.9200,2.311
31.9600,2.414
32.0000,2.315
32.0400,2.229
32.0800,2.205
32.1200,2.189
32.1600,2.235
32.2000,2.185
32.2400,2.106
32.2800,2.099
32.3200,2.144
32.3600,2.111
32.4000,2.149
32.4400,2.109
32.4800,2.157
32.5200,2.105
32.5600,2.141
32.6000,2.112
32.6400,2.217
32.6800,2.373
32.7200,2.422
32.7600,2.554
32.8000,3.213
32.8400,7.029
32.8800,15.082
32.9200,14.909
32.9600,11.165
33.0000,10.443
33.0400,6.442
33.0800,3.214
33.1200,2.318
33.1600,2.130
33.2000,2.133
33.2400,2.116
33.2800,2.085
33.3200,2.074
33.3600,2.071
33.4000,1.974
33.4400,2.072
33.4800,2.054
33.5200,2.085
33.5600,2.013
33.6000,2.004
