theta,intensity
5.0000,4.750
5.0400,4.566
5.0800,4.543
5.1200,4.631
5.1600,4.519
5.2000,4.597
5.2400,4.503
5.2800,4.534
5.3200,4.515
5.3600,4.541
5.4000,4.444
5.4400,4.310
5.4800,4.266
5.5200,4.251
5.5600,4.137
5.6000,4.144
5.6400,4.211
5.6800,4.179
5.7200,4.124
5.7600,4.112
5.8000,4.165
5.8400,4.098
5.8800,4.053
5.9200,4.023
5.9600,4.049
6.0000,4.145
6.0400,4.178
6.0800,4.107
6.1200,4.036
6.1600,4.055
6.2000,3.988
6.2400,4.061
6.2800,4.024
6.3200,3.934
6.3600,3.987
6.4000,3.999
6.4400,3.859
6.4800,3.872
6.5200,3.964
6.5600,4.084
6.6000,4.028
6.6400,3.860
6.6800,3.906
6.7200,3.886
6.7600,3.973
6.8000,3.856
6.8400,3.961
6.8800,3.914
6.9200,4.013
6.9600,3.895
7.0000,3.945
7.0400,3.958
7.0800,3.890
7.1200,3.892
7.1600,3.836
7.2000,3.945
7.2400,3.952
7.2800,3.870
7.3200,3.857
7.3600,3.893
7.4000,3.854
7.4400,3.889
7.4800,3.873
7.5200,3.888
7.5600,3.798
7.6000,3.848
7.6400,3.862
7.6800,3.913
7.7200,3.901
7.7600,3.912
7.8000,3.755
7.8400,3.756
7.8800,3.811
7.9200,3.670
7.9600,3.763
8.0000,3.703
8.0400,3.793
8.0800,3.794
8.1200,3.831
8.1600,3.845
8.2000,3.858
8.2400,3.769
8.2800,3.854
8.3200,3.873
8.3600,3.786
8.4000,3.837
8.4400,3.804
8.4800,3.760
8.5200,3.806
8.5600,3.763
8.6000,3.674
8.6400,3.877
8.6800,3.794
8.7200,3.752
8.7600,3.676
8.8000,3.684
8.8400,3.721
8.8800,3.622
8.9200,3.663
8.9600,3.736
9.0000,3.785
9.0400,3.673
9.0800,3.677
9.1200,3.670
9.1600,3.641
9.2000,3.637
9.2400,3.717
9.2800,3.709
9.3200,3.618
9.3600,3.652
9.4000,3.627
9.4400,3.623
9.4800,3.521
9.5200,3.606
9.5600,3.621
9.6000,3.621
9.6400,3.641
9.6800,3.563
9.7200,3.610
9.7600,3.601
9.8000,3.568
9.8400,3.686
9.8800,3.665
9.9200,3.688
9.9600,3.536
10.0000,3.590
10.0400,3.663
10.0800,3.503
10.1200,3.578
10.1600,3.627
10.2000,3.618
10.2400,3.585
10.2800,3.654
10.3200,3.577
10.3600,3.446
10.4000,3.457
10.4400,3.495
10.4800,3.522
10.5200,3.511
10.5600,3.572
10.6000,3.524
10.6400,3.484
10.6800,3.547
10.7200,3.501
10.7600,3.579
10.8000,3.427
10.8400,3.526
10.8800,3.511
10.9200,3.508
10.9600,3.494
11.0000,3.636
11.0400,3.530
11.0800,3.468
11.1200,3.453
11.1600,3.470
11.2000,3.494
11.2400,3.456
11.2800,3.538
11.3200,3.438
11.3600,3.518
11.4000,3.547
11.4400,3.503
11.4800,3.450
11.5200,3.498
11.5600,3.412
11.6000,3.480
