theta,intensity
5.0000,6.861
5.0400,6.805
5.0800,6.626
5.1200,6.639
5.1600,6.206
5.2000,6.154
5.2400,6.134
5.2800,5.919
5.3200,5.813
5.3600,5.702
5.4000,5.483
5.4400,5.549
5.4800,5.504
5.5200,5.280
5.5600,5.134
5.6000,5.080
5.6400,5.032
5.6800,4.828
5.7200,4.727
5.7600,4.620
5.8000,4.719
5.8400,4.540
5.8800,4.550
5.9200,4.474
5.9600,4.450
6.0000,4.284
6.0400,4.304
6.0800,4.421
6.1200,4.416
6.1600,4.300
6.2000,4.269
6.2400,4.350
6.2800,4.395
6.3200,4.387
6.3600,4.346
6.4000,4.316
6.4400,4.220
6.4800,4.169
6.5200,4.300
6.5600,4.287
6.6000,4.258
6.6400,4.208
6.6800,4.194
6.7200,4.227
6.7600,4.178
6.8000,4.140
6.8400,4.288
6.8800,4.235
6.9200,4.327
6.9600,4.222
7.0000,4.252
7.0400,4.184
7.0800,4.169
7.1200,4.051
7.1600,4.228
7.2000,4.133
7.2400,4.135
7.2800,4.166
7.3200,4.091
7.3600,4.083
7.4000,4.141
7.4400,4.117
7.4800,4.044
7.5200,4.037
7.5600,4.139
7.6000,4.090
7.6400,4.093
7.6800,4.091
7.7200,4.101
7.7600,4.062
7.8000,3.987
7.8400,3.904
7.8800,4.044
7.9200,4.033
7.9600,3.882
8.0000,3.940
8.0400,4.011
8.0800,3.937
8.1200,3.932
8.1600,3.961
8.2000,3.994
8.2400,3.940
8.2800,4.026
8.3200,3.856
8.3600,3.887
8.4000,4.014
8.4400,3.852
8.4800,3.904
8.5200,3.902
8.5600,3.915
8.6000,3.850
8.6400,3.852
8.6800,3.876
8.7200,3.959
8.7600,3.929
8.8000,3.901
8.8400,3.875
8.8800,3.909
8.9200,3.856
8.9600,4.002
9.0000,3.850
9.0400,3.687
9.0800,3.767
9.1200,3.811
9.1600,3.879
9.2000,3.832
9.2400,3.755
9.2800,3.807
9.3200,3.777
9.3600,3.816
9.4000,3.609
9.4400,3.800
9.4800,3.728
9.5200,3.771
9.5600,3.735
9.6000,3.869
9.6400,3.764
9.6800,3.847
9.7200,3.820
9.7600,3.786
9.8000,3.738
9.8400,3.704
9.8800,3.774
9.9200,3.779
9.9600,3.812
10.0000,3.706
10.0400,3.740
10.0800,3.805
10.1200,3.797
10.1600,3.695
10.2000,3.789
10.2400,3.740
10.2800,3.669
10.3200,3.698
10.3600,3.619
10.4000,3.688
10.4400,3.672
10.4800,3.729
10.5200,3.707
10.5600,3.726
10.6000,3.782
10.6400,3.676
10.6800,3.621
10.7200,3.710
10.7600,3.594
10.8000,3.690
10.8400,3.761
10.8800,3.652
10.9200,3.647
10.9600,3.673
11.0000,3.546
11.0400,3.703
11.0800,3.632
11.1200,3.571
11.1600,3.542
11.2000,3.697
11.2400,3.574
11.2800,3.637
11.3200,3.697
11.3600,3.480
11.4000,3.544
11.4400,3.565
11.4800,3.472
11.5200,3.538
11.5600,3.543
11.6000,3.616
11.6400,3.561
11.6800,3.565
11.7200,3.489
11.7600,3.520
11.8000,3.455
11.8400,3.521
11.8800,3.567
11.9200,3.503
11.9600,3.581
12.0000,3.526
12.0400,3.464
12.0800,3.475
12.1200,3.582
12.1600,3.492
12.2000,3.465
12.2400,3.472
12.2800,3.423
12.3200,3.534
12.3600,3.411
12.4000,3.540
12.4400,3.531
12.4800,3.464
12.5200,3.500
12.5600,3.467
12.6000,3.492
12.6400,3.416
12.6800,3.486
12.7200,3.416
12.7600,3.485
12.8000,3.408
12.8400,3.437
12.8800,3.482
12.9200,3.466
12.9600,3.397
