theta,intensity
5.0000,6.464
5.0400,6.472
5.0800,6.618
5.1200,6.406
5.1600,6.439
5.2000,6.347
5.2400,6.281
5.2800,6.166
5.3200,6.104
5.3600,6.111
5.4000,5.863
5.4400,5.788
5.4800,5.785
5.5200,5.675
5.5600,5.594
5.6000,5.407
5.6400,5.383
5.6800,5.283
5.7200,5.027
5.7600,5.063
5.8000,4.928
5.8400,4.917
5.8800,4.803
5.9200,4.731
5.9600,4.706
6.0000,4.703
6.0400,4.623
6.0800,4.437
6.1200,4.460
6.1600,4.505
6.2000,4.380
6.2400,4.393
6.2800,4.359
6.3200,4.360
6.3600,4.273
6.4000,4.251
6.4400,4.296
6.4800,4.292
6.5200,4.284
6.5600,4.179
6.6000,4.205
6.6400,4.268
6.6800,4.235
6.7200,4.167
6.7600,4.195
6.8000,4.129
6.8400,4.097
6.8800,4.149
6.9200,4.148
6.9600,4.124
7.0000,4.055
7.0400,4.007
7.0800,4.187
7.1200,4.041
7.1600,4.043
7.2000,4.001
7.2400,4.020
7.2800,4.035
7.3200,3.947
7.3600,3.937
7.4000,3.947
7.4400,3.809
7.4800,3.972
7.5200,3.990
7.5600,3.944
7.6000,3.957
7.6400,3.998
7.6800,3.938
7.7200,3.920
7.7600,3.934
7.8000,3.963
7.8400,3.935
7.8800,3.922
7.9200,3.901
7.9600,3.907
8.0000,3.899
8.0400,3.906
8.0800,3.938
8.1200,3.981
8.1600,3.886
8.2000,3.922
8.2400,3.889
8.2800,3.853
8.3200,3.896
8.3600,4.082
8.4000,3.953
8.4400,3.909
8.4800,4.000
8.5200,3.874
8.5600,3.892
8.6000,3.887
8.6400,3.938
8.6800,3.897
8.7200,3.726
8.7600,3.744
8.8000,3.829
8.8400,3.775
8.8800,3.758
8.9200,3.749
8.9600,3.717
9.0000,3.707
9.0400,3.827
9.0800,3.788
9.1200,3.728
9.1600,3.831
9.2000,3.828
9.2400,3.820
9.2800,3.731
9.3200,3.814
9.3600,3.798
9.4000,3.665
9.4400,3.733
9.4800,3.798
9.5200,3.687
9.5600,3.791
9.6000,3.689
9.6400,3.655
9.6800,3.688
9.7200,3.608
9.7600,3.670
9.8000,3.642
9.8400,3.708
9.8800,3.739
9.9200,3.653
9.9600,3.599
10.0000,3.571
10.0400,3.672
10.0800,3.684
10.1200,3.630
10.1600,3.671
10.2000,3.742
10.2400,3.646
10.2800,3.772
10.3200,3.696
10.3600,3.686
10.4000,3.683
10.4400,3.499
10.4800,3.643
10.5200,3.751
10.5600,3.690
10.6000,3.651
10.6400,3.648
