theta,intensity
5.0000,6.090
5.0400,6.059
5.0800,5.927
5.1200,5.748
5.1600,5.771
5.2000,5.510
5.2400,5.527
5.2800,5.395
5.3200,5.271
5.3600,5.145
5.4000,5.073
5.4400,4.966
5.4800,4.802
5.5200,4.805
5.5600,4.672
5.6000,4.766
5.6400,4.582
5.6800,4.594
5.7200,4.507
5.7600,4.515
5.8000,4.428
5.8400,4.436
5.8800,4.460
5.9200,4.444
5.9600,4.428
6.0000,4.278
6.0400,4.416
6.0800,4.446
6.1200,4.334
6.1600,4.335
6.2000,4.268
6.2400,4.352
6.2800,4.285
6.3200,4.208
6.3600,4.426
6.4000,4.246
6.4400,4.248
6.4800,4.243
6.5200,4.330
6.5600,4.259
6.6000,4.213
6.6400,4.133
6.6800,4.140
6.7200,4.246
6.7600,4.244
6.8000,4.234
6.8400,4.122
6.8800,4.155
6.9200,4.162
6.9600,4.055
7.0000,4.144
7.0400,4.200
7.0800,4.010
7.1200,4.125
7.1600,4.087
7.2000,4.087
7.2400,4.077
7.2800,4.018
7.3200,4.102
7.3600,4.090
7.4000,4.006
7.4400,3.985
7.4800,3.996
7.5200,4.090
7.5600,4.118
7.6000,4.094
7.6400,3.918
7.6800,3.990
7.7200,4.002
7.7600,4.028
7.8000,4.039
7.8400,4.076
7.8800,4.020
7.9200,4.014
7.9600,4.000
8.0000,3.963
8.0400,4.151
8.0800,4.171
8.1200,4.106
8.1600,3.985
8.2000,3.987
8.2400,3.960
8.2800,3.993
8.3200,3.960
8.3600,3.948
8.4000,3.914
8.4400,3.852
8.4800,3.953
8.5200,3.904
8.5600,3.875
8.6000,3.922
8.6400,3.972
8.6800,3.882
8.7200,3.936
8.7600,3.790
8.8000,3.952
8.8400,3.840
8.8800,3.818
8.9200,3.879
8.9600,3.879
9.0000,3.861
9.0400,3.862
9.0800,3.809
9.1200,3.823
9.1600,3.845
9.2000,3.849
9.2400,3.864
9.2800,3.728
9.3200,3.932
9.3600,3.855
9.4000,3.884
9.4400,3.852
9.4800,3.795
9.5200,3.848
9.5600,3.872
9.6000,3.769
9.6400,3.756
9.6800,3.701
9.7200,3.834
9.7600,3.703
9.8000,3.774
9.8400,3.711
9.8800,3.634
9.9200,3.690
9.9600,3.829
10.0000,3.664
10.0400,3.657
10.0800,3.796
10.1200,3.687
10.1600,3.682
10.2000,3.569
10.2400,3.730
10.2800,3.741
10.3200,3.682
10.3600,3.689
10.4000,3.728
10.4400,3.651
10.4800,3.783
10.5200,3.684
10.5600,3.854
10.6000,3.694
10.6400,3.728
10.6800,3.652
10.7200,3.709
10.7600,3.741
10.8000,3.679
10.8400,3.660
10.8800,3.695
10.9200,3.639
10.9600,3.613
11.0000,3.831
11.0400,3.556
11.0800,3.575
11.1200,3.558
11.1600,3.696
11.2000,3.602
11.2400,3.646
11.2800,3.598
11.3200,3.566
11.3600,3.566
11.4000,3.561
11.4400,3.553
11.4800,3.543
11.5200,3.527
11.5600,3.657
11.6000,3.567
11.6400,3.504
11.6800,3.513
11.7200,3.631
11.7600,3.518
11.8000,3.522
11.8400,3.554
11.8800,3.507
11.9200,3.534
11.9600,3.533
12.0000,3.459
12.0400,3.540
12.0800,3.492
12.1200,3.531
12.1600,3.459
12.2000,3.440
12.2400,3.359
12.2800,3.479
12.3200,3.515
12.3600,3.409
12.4000,3.377
12.4400,3.485
12.4800,3.398
12.5200,3.388
12.5600,3.407
12.6000,3.446
12.6400,3.476
12.6800,3.413
12.7200,3.409
12.7600,3.425
12.8000,3.305
12.8400,3.484
12.8800,3.457
12.9200,3.387
12.9600,3.357
13.0000,3.433
13.0400,3.472
13.0800,3.354
13.1200,3.371
13.1600,3.482
13.2000,3.451
13.2400,3.412
13.2800,3.404
13.3200,3.245
13.3600,3.414
13.4000,3.349
13.4400,3.438
13.4800,3.340
13.5200,3.489
13.5600,3.384
13.6000,3.474
13.6400,3.369
13.6800,3.331
13.7200,3.370
13.7600,3.378
13.8000,3.421
13.8400,3.307
13.8800,3.362
13.9200,3.293
13.9600,3.206
14.0000,3.269
14.0400,3.316
14.0800,3.291
14.1200,3.290
14.1600,3.281
14.2000,3.322
14.2400,3.323
14.2800,3.338
14.3200,3.301
14.3600,3.269
14.4000,3.287
14.4400,3.336
14.4800,3.294
14.5200,3.219
14.5600,3.239
14.6000,3.198
14.6400,3.305
14.6800,3.313
14.7200,3.287
14.7600,3.192
14.8000,3.267
14.8400,3.207
14.8800,3.321
14.9200,3.302
14.9600,3.153
15.0000,3.244
15.0400,3.299
15.0800,3.187
15.1200,3.138
15.1600,3.193
15.2000,3.219
15.2400,3.233
15.2800,3.242
15.3200,3.150
15.3600,3.221
15.4000,3.195
15.4400,3.261
15.4800,3.167
15.5200,3.124
15.5600,3.079
15.6000,3.199
15.6400,3.174
15.6800,3.130
15.7200,3.070
15.7600,3.102
15.8000,3.155
15.8400,3.101
15.8800,3.123
15.9200,3.163
15.9600,3.201
16.0000,3.219
16.0400,3.170
16.0800,3.060
16.1200,3.201
